Dataset	Run	Tool	Expected_species	Predicted_species	True_positives	False_positives	False_negatives	Precision	Recall	F1_score	Jaccard
dataset_01_miseq_v1v2_mock_dna	SRR3225701	QIIME2	20	11	7	4	13	0.6363636363636364	0.35	0.45161290322580644	0.2916666666666667
dataset_01_miseq_v1v2_mock_dna	SRR3225701	DADA2	20	22	10	12	10	0.45454545454545453	0.5	0.47619047619047616	0.3125
dataset_01_miseq_v1v2_mock_dna	SRR3225701	Kraken2	20	84	4	80	16	0.047619047619047616	0.2	0.07692307692307693	0.04
dataset_01_miseq_v1v2_mock_dna	SRR3225701	Kraken2_direct10	20	33	4	29	16	0.12121212121212122	0.2	0.15094339622641512	0.08163265306122448
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	QIIME2	22	31	8	23	14	0.25806451612903225	0.36363636363636365	0.3018867924528302	0.17777777777777778
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	DADA2	22	45	11	34	11	0.24444444444444444	0.5	0.3283582089552239	0.19642857142857142
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	Kraken2	22	73	5	68	17	0.0684931506849315	0.22727272727272727	0.10526315789473684	0.05555555555555555
dataset_02_miseq_v1v2_mock_cells_rbb_glycerol	SRR3225702	Kraken2_direct10	22	26	3	23	19	0.11538461538461539	0.13636363636363635	0.12499999999999997	0.06666666666666667
